date,sku_id,product_id,product_name,category_l1,category_l2,brand,avg_price,min_price,max_price,total_sales,shop_count,"record_count"
2026-06-01,SKU0037,PROD0037,三只松鼠日用商品 SKU0037,日用百货,日用百货,三只松鼠,271.87,247.16,296.57,289,2,"2"
2026-06-01,SKU0038,PROD0038,格力日用商品 SKU0038,日用百货,日用百货,格力,111.39,65.57,157.21,463,2,"2"
2026-06-01,SKU0039,PROD0039,小米日用商品 SKU0039,日用百货,日用百货,小米,93.38,88.69,98.07,291,2,"2"
2026-06-01,SKU0040,PROD0040,格力智能手机 SKU0040,手机数码,手机数码,格力,4399.56,4147.44,4770.27,377,3,"3"
2026-06-01,SKU0041,PROD0041,联想日用商品 SKU0041,日用百货,日用百货,联想,260.55,21.32,461.82,637,4,"4"
2026-06-01,SKU0042,PROD0042,Adidas精选零食礼包 SKU0042,食品饮料,食品饮料,Adidas,145.34,106.23,184.46,381,2,"2"
2026-06-01,SKU0043,PROD0043,欧莱雅日用商品 SKU0043,日用百货,日用百货,欧莱雅,246.75,68.53,525.13,615,5,"5"
2026-06-01,SKU0044,PROD0044,三星笔记本电脑 SKU0044,电脑办公,电脑办公,三星,6657.04,5362.5,7977.25,673,4,"4"
2026-06-01,SKU0045,PROD0045,格力运动装备 SKU0045,运动户外,运动户外,格力,1498.44,541.96,2819.31,506,4,"4"
2026-06-01,SKU0046,PROD0046,Apple智能手机 SKU0046,手机数码,手机数码,Apple,6387.38,4741.25,8536.28,1110,5,"5"
2026-06-01,SKU0047,PROD0047,Apple智能家电 SKU0047,家用电器,家用电器,Apple,3018.99,1688.62,4349.35,369,2,"2"
2026-06-01,SKU0048,PROD0048,索尼时尚运动鞋 SKU0048,服饰鞋包,服饰鞋包,索尼,797.82,336.95,1599.54,626,5,"5"
2026-06-01,SKU0049,PROD0049,索尼时尚运动鞋 SKU0049,服饰鞋包,服饰鞋包,索尼,1015.63,817.43,1368.17,430,3,"3"
2026-06-01,SKU0050,PROD0050,小米智能手机 SKU0050,手机数码,手机数码,小米,5132.94,3487.51,8563.15,502,4,"4"
2026-06-01,SKU0051,PROD0051,Adidas护肤精华 SKU0051,美妆个护,美妆个护,Adidas,761.57,737.5,785.64,305,2,"2"
2026-06-01,SKU0052,PROD0052,华为时尚运动鞋 SKU0052,服饰鞋包,服饰鞋包,华为,1448.53,1405.44,1491.61,255,2,"2"
2026-06-01,SKU0053,PROD0053,Apple智能手机 SKU0053,手机数码,手机数码,Apple,5973.69,3019.09,7728.34,393,3,"3"
2026-06-01,SKU0054,PROD0054,三只松鼠笔记本电脑 SKU0054,电脑办公,电脑办公,三只松鼠,4032.96,1081.79,9907.34,637,5,"5"
2026-06-01,SKU0055,PROD0055,格力智能手机 SKU0055,手机数码,手机数码,格力,4250.61,614.76,7707.9,885,4,"4"
2026-06-01,SKU0056,PROD0056,欧莱雅精选零食礼包 SKU0056,食品饮料,食品饮料,欧莱雅,134.53,100.25,168.81,370,2,"2"
2026-06-01,SKU0057,PROD0057,三星运动装备 SKU0057,运动户外,运动户外,三星,1548.84,575.17,2543.05,683,5,"5"
2026-06-01,SKU0058,PROD0058,联想日用商品 SKU0058,日用百货,日用百货,联想,296.37,36.6,493.51,842,5,"5"
2026-06-01,SKU0059,PROD0059,Adidas智能手机 SKU0059,手机数码,手机数码,Adidas,3246.98,543.71,6953.2,493,3,"3"
2026-06-01,SKU0060,PROD0060,联想智能手机 SKU0060,手机数码,手机数码,联想,4497.61,721.62,7670.22,554,3,"3"
2026-06-01,SKU0061,PROD0061,良品铺子护肤精华 SKU0061,美妆个护,美妆个护,良品铺子,445.07,138.54,638.03,335,3,"3"
2026-06-01,SKU0062,PROD0062,小米日用商品 SKU0062,日用百货,日用百货,小米,163.54,156.24,170.83,391,2,"2"
2026-06-01,SKU0063,PROD0063,联想时尚运动鞋 SKU0063,服饰鞋包,服饰鞋包,联想,823.15,289.8,1355.33,810,5,"5"
2026-06-01,SKU0064,PROD0064,格力智能家电 SKU0064,家用电器,家用电器,格力,3166.41,489.22,5097.02,836,5,"5"
2026-06-01,SKU0065,PROD0065,三只松鼠智能手机 SKU0065,手机数码,手机数码,三只松鼠,129123.49,129123.49,129123.49,244,1,"1"
2026-06-01,SKU0066,PROD0066,索尼精选零食礼包 SKU0066,食品饮料,食品饮料,索尼,112.95,6.98,179.51,343,3,"3"
2026-06-01,SKU0067,PROD0067,NIKE笔记本电脑 SKU0067,电脑办公,电脑办公,NIKE,7006.99,2043.56,9087.04,674,4,"4"
2026-06-01,SKU0068,PROD0068,小米时尚运动鞋 SKU0068,服饰鞋包,服饰鞋包,小米,901.52,432.08,1443.24,774,5,"5"
2026-06-01,SKU0069,PROD0069,索尼笔记本电脑 SKU0069,电脑办公,电脑办公,索尼,6921.91,4497.79,8169.25,398,3,"3"
2026-06-01,SKU0070,PROD0070,美的精选零食礼包 SKU0070,食品饮料,食品饮料,美的,139.63,75.16,201.28,562,3,"3"
2026-06-01,SKU0071,PROD0071,小米智能手机 SKU0071,手机数码,手机数码,小米,1465.54,684.41,2489.3,306,3,"3"
2026-06-01,SKU0072,PROD0072,联想护肤精华 SKU0072,美妆个护,美妆个护,联想,529.35,330.95,727.75,328,2,"2"
2026-06-01,SKU0073,PROD0073,小米日用商品 SKU0073,日用百货,日用百货,小米,245.91,128.08,473.46,484,3,"3"
2026-06-01,SKU0074,PROD0074,Adidas笔记本电脑 SKU0074,电脑办公,电脑办公,Adidas,5551.35,1440.0,8841.47,527,3,"3"
2026-06-01,SKU0075,PROD0075,华为笔记本电脑 SKU0075,电脑办公,电脑办公,华为,8392.2,5283.29,10015.48,487,3,"3"
2026-06-01,SKU0076,PROD0076,格力精选零食礼包 SKU0076,食品饮料,食品饮料,格力,114.37,54.29,174.45,358,2,"2"
2026-06-01,SKU0077,PROD0077,华为笔记本电脑 SKU0077,电脑办公,电脑办公,华为,5581.94,1301.22,8686.41,559,5,"5"
2026-06-01,SKU0078,PROD0078,欧莱雅精选零食礼包 SKU0078,食品饮料,食品饮料,欧莱雅,91.44,46.0,120.91,795,5,"5"
2026-06-01,SKU0079,PROD0079,Apple笔记本电脑 SKU0079,电脑办公,电脑办公,Apple,4970.94,2268.95,8528.77,685,5,"5"
2026-06-01,SKU0080,PROD0080,Apple日用商品 SKU0080,日用百货,日用百货,Apple,285.68,145.29,378.89,515,4,"4"
2026-06-01,SKU0081,PROD0081,索尼精选零食礼包 SKU0081,食品饮料,食品饮料,索尼,127.13,77.55,198.41,606,3,"3"
2026-06-01,SKU0082,PROD0082,美的精选零食礼包 SKU0082,食品饮料,食品饮料,美的,150.27,145.22,155.32,309,2,"2"
2026-06-01,SKU0083,PROD0083,三只松鼠时尚运动鞋 SKU0083,服饰鞋包,服饰鞋包,三只松鼠,753.75,409.51,1331.75,590,3,"3"
2026-06-01,SKU0084,PROD0084,良品铺子日用商品 SKU0084,日用百货,日用百货,良品铺子,417.43,335.43,499.09,450,5,"5"
2026-06-01,SKU0085,PROD0085,索尼运动装备 SKU0085,运动户外,运动户外,索尼,1854.96,1013.14,2944.3,486,3,"3"
2026-06-01,SKU0086,PROD0086,良品铺子运动装备 SKU0086,运动户外,运动户外,良品铺子,1668.24,381.38,2909.9,513,3,"3"
2026-06-01,SKU0087,PROD0087,Adidas智能家电 SKU0087,家用电器,家用电器,Adidas,3389.97,2072.93,4215.44,506,3,"3"
2026-06-01,SKU0088,PROD0088,三星精选零食礼包 SKU0088,食品饮料,食品饮料,三星,37.69,5.38,74.91,440,4,"4"
2026-06-01,SKU0089,PROD0089,美的精选零食礼包 SKU0089,食品饮料,食品饮料,美的,78.88,7.26,175.72,498,3,"3"
2026-06-01,SKU0090,PROD0090,欧莱雅智能手机 SKU0090,手机数码,手机数码,欧莱雅,5499.82,1896.11,8661.95,482,4,"4"
2026-06-01,SKU0091,PROD0091,联想笔记本电脑 SKU0091,电脑办公,电脑办公,联想,6643.94,1451.27,9586.92,600,4,"4"
2026-06-01,SKU0092,PROD0092,良品铺子精选零食礼包 SKU0092,食品饮料,食品饮料,良品铺子,119.57,17.87,207.86,698,5,"5"
2026-06-01,SKU0093,PROD0093,格力精选零食礼包 SKU0093,食品饮料,食品饮料,格力,153.22,84.73,186.67,361,4,"4"
2026-06-01,SKU0094,PROD0094,欧莱雅日用商品 SKU0094,日用百货,日用百货,欧莱雅,261.6,108.81,462.23,754,5,"5"
2026-06-01,SKU0095,PROD0095,良品铺子笔记本电脑 SKU0095,电脑办公,电脑办公,良品铺子,6904.89,4991.89,8447.63,758,5,"5"
2026-06-01,SKU0096,PROD0096,美的智能手机 SKU0096,手机数码,手机数码,美的,3976.01,1612.85,6502.11,378,3,"3"
2026-06-01,SKU0097,PROD0097,三只松鼠智能家电 SKU0097,家用电器,家用电器,三只松鼠,2951.93,1765.33,4262.81,621,4,"4"
2026-06-01,SKU0098,PROD0098,海尔护肤精华 SKU0098,美妆个护,美妆个护,海尔,592.74,460.54,694.26,480,3,"3"
2026-06-01,SKU0099,PROD0099,Apple精选零食礼包 SKU0099,食品饮料,食品饮料,Apple,30.77,7.22,54.33,285,2,"2"
2026-06-01,SKU0100,PROD0100,海尔智能手机 SKU0100,手机数码,手机数码,海尔,3348.38,2777.36,3919.4,423,2,"2"
2026-06-01,SKU0101,PROD0101,格力运动装备 SKU0101,运动户外,运动户外,格力,2198.39,1448.05,2893.22,614,4,"4"
2026-06-01,SKU0102,PROD0102,欧莱雅精选零食礼包 SKU0102,食品饮料,食品饮料,欧莱雅,122.65,77.61,145.79,354,3,"3"
2026-06-01,SKU0103,PROD0103,欧莱雅护肤精华 SKU0103,美妆个护,美妆个护,欧莱雅,340.09,144.65,486.11,315,3,"3"
2026-06-01,SKU0104,PROD0104,三星智能手机 SKU0104,手机数码,手机数码,三星,2167.42,1423.25,2911.59,368,2,"2"
2026-06-01,SKU0105,PROD0105,欧莱雅智能手机 SKU0105,手机数码,手机数码,欧莱雅,5759.24,2332.9,8137.13,316,3,"3"
2026-06-01,SKU0106,PROD0106,玉兰油智能家电 SKU0106,家用电器,家用电器,玉兰油,1868.43,1231.5,2334.28,509,3,"3"
2026-06-01,SKU0107,PROD0107,NIKE时尚运动鞋 SKU0107,服饰鞋包,服饰鞋包,NIKE,839.5,511.08,1167.92,201,2,"2"
2026-06-01,SKU0108,PROD0108,Apple智能家电 SKU0108,家用电器,家用电器,Apple,3314.99,1551.93,5078.05,212,2,"2"
2026-06-01,SKU0109,PROD0109,NIKE护肤精华 SKU0109,美妆个护,美妆个护,NIKE,616.27,392.37,767.35,470,3,"3"
2026-06-01,SKU0110,PROD0110,华为智能家电 SKU0110,家用电器,家用电器,华为,2731.06,2127.74,4166.84,570,4,"4"
2026-06-01,SKU0111,PROD0111,格力运动装备 SKU0111,运动户外,运动户外,格力,1334.43,250.48,2790.36,654,4,"4"
2026-06-01,SKU0112,PROD0112,三星智能家电 SKU0112,家用电器,家用电器,三星,3376.7,831.45,5041.88,600,4,"4"
2026-06-01,SKU0113,PROD0113,三星时尚运动鞋 SKU0113,服饰鞋包,服饰鞋包,三星,1085.47,972.78,1198.17,177,2,"2"
2026-06-01,SKU0114,PROD0114,美的智能手机 SKU0114,手机数码,手机数码,美的,4133.4,922.7,7308.22,603,4,"4"
2026-06-01,SKU0115,PROD0115,欧莱雅运动装备 SKU0115,运动户外,运动户外,欧莱雅,954.78,429.2,1426.48,273,3,"3"
2026-06-01,SKU0116,PROD0116,玉兰油运动装备 SKU0116,运动户外,运动户外,玉兰油,2154.37,1046.0,2774.47,533,3,"3"
2026-06-01,SKU0117,PROD0117,三只松鼠日用商品 SKU0117,日用百货,日用百货,三只松鼠,314.82,26.87,474.2,461,5,"5"
2026-06-01,SKU0118,PROD0118,Apple日用商品 SKU0118,日用百货,日用百货,Apple,268.61,24.74,479.3,707,5,"5"
2026-06-01,SKU0119,PROD0119,联想智能家电 SKU0119,家用电器,家用电器,联想,3032.2,1785.45,3810.79,602,3,"3"
2026-06-01,SKU0120,PROD0120,海尔时尚运动鞋 SKU0120,服饰鞋包,服饰鞋包,海尔,707.24,90.05,1360.04,572,4,"4"
2026-06-01,SKU0121,PROD0121,欧莱雅时尚运动鞋 SKU0121,服饰鞋包,服饰鞋包,欧莱雅,984.67,399.15,1475.24,502,3,"3"
2026-06-01,SKU0122,PROD0122,海尔时尚运动鞋 SKU0122,服饰鞋包,服饰鞋包,海尔,490.12,68.85,911.38,169,2,"2"
2026-06-01,SKU0123,PROD0123,华为日用商品 SKU0123,日用百货,日用百货,华为,192.22,39.54,344.89,236,2,"2"
2026-06-01,SKU0124,PROD0124,Adidas时尚运动鞋 SKU0124,服饰鞋包,服饰鞋包,Adidas,924.95,433.39,1445.84,425,3,"3"
2026-06-01,SKU0125,PROD0125,联想日用商品 SKU0125,日用百货,日用百货,联想,452.06,423.4,480.72,336,2,"2"
2026-06-01,SKU0126,PROD0126,Apple日用商品 SKU0126,日用百货,日用百货,Apple,307.34,173.97,422.86,487,4,"4"
2026-06-01,SKU0127,PROD0127,索尼智能手机 SKU0127,手机数码,手机数码,索尼,5811.02,1779.68,8161.97,476,3,"3"
2026-06-01,SKU0128,PROD0128,美的笔记本电脑 SKU0128,电脑办公,电脑办公,美的,4801.79,923.14,8920.27,546,4,"4"
2026-06-01,SKU0129,PROD0129,NIKE智能家电 SKU0129,家用电器,家用电器,NIKE,3476.11,2689.82,4861.31,517,4,"4"
2026-06-01,SKU0130,PROD0130,玉兰油护肤精华 SKU0130,美妆个护,美妆个护,玉兰油,484.38,337.9,630.85,309,2,"2"
2026-06-01,SKU0131,PROD0131,三星智能手机 SKU0131,手机数码,手机数码,三星,4439.98,604.84,8432.25,906,5,"5"
2026-06-01,SKU0132,PROD0132,华为运动装备 SKU0132,运动户外,运动户外,华为,1633.74,342.51,2924.98,408,2,"2"
2026-06-01,SKU0133,PROD0133,联想护肤精华 SKU0133,美妆个护,美妆个护,联想,422.12,368.93,475.31,313,2,"2"
2026-06-01,SKU0134,PROD0134,三只松鼠智能手机 SKU0134,手机数码,手机数码,三只松鼠,4472.65,676.61,7200.7,488,4,"4"
2026-06-01,SKU0135,PROD0135,良品铺子智能手机 SKU0135,手机数码,手机数码,良品铺子,4396.85,2668.84,7195.22,671,4,"4"
2026-06-01,SKU0136,PROD0136,三星智能手机 SKU0136,手机数码,手机数码,三星,4415.56,1398.49,7586.08,636,3,"3"
2026-06-01,SKU0137,PROD0137,海尔智能手机 SKU0137,手机数码,手机数码,海尔,3113.32,2147.21,4905.84,496,4,"4"
2026-06-01,SKU0138,PROD0138,Adidas日用商品 SKU0138,日用百货,日用百货,Adidas,247.3,98.11,327.02,888,5,"5"
2026-06-01,SKU0139,PROD0139,海尔精选零食礼包 SKU0139,食品饮料,食品饮料,海尔,31.54,12.79,56.47,317,3,"3"
2026-06-01,SKU0140,PROD0140,美的日用商品 SKU0140,日用百货,日用百货,美的,255.64,75.96,433.11,686,4,"4"
2026-06-01,SKU0141,PROD0141,良品铺子日用商品 SKU0141,日用百货,日用百货,良品铺子,314.32,183.7,432.64,472,4,"4"
2026-06-01,SKU0142,PROD0142,华为笔记本电脑 SKU0142,电脑办公,电脑办公,华为,2871.74,2627.39,3116.09,141,2,"2"
2026-06-01,SKU0143,PROD0143,良品铺子日用商品 SKU0143,日用百货,日用百货,良品铺子,270.84,33.1,482.54,402,3,"3"
2026-06-01,SKU0144,PROD0144,Apple精选零食礼包 SKU0144,食品饮料,食品饮料,Apple,51.36,12.14,97.83,870,5,"5"
2026-06-01,SKU0145,PROD0145,索尼智能家电 SKU0145,家用电器,家用电器,索尼,4575.43,4473.65,4677.22,307,2,"2"
2026-06-01,SKU0146,PROD0146,格力智能家电 SKU0146,家用电器,家用电器,格力,890.26,669.81,1246.67,488,3,"3"
2026-06-01,SKU0147,PROD0147,欧莱雅时尚运动鞋 SKU0147,服饰鞋包,服饰鞋包,欧莱雅,345.51,153.95,695.03,328,3,"3"
2026-06-01,SKU0148,PROD0148,Apple精选零食礼包 SKU0148,食品饮料,食品饮料,Apple,60.63,21.54,117.28,431,3,"3"
2026-06-01,SKU0149,PROD0149,Adidas运动装备 SKU0149,运动户外,运动户外,Adidas,1981.72,755.22,2691.07,818,5,"5"
2026-06-01,SKU0150,PROD0150,小米护肤精华 SKU0150,美妆个护,美妆个护,小米,397.03,38.53,707.62,792,5,"5"
2026-06-01,SKU0151,PROD0151,NIKE笔记本电脑 SKU0151,电脑办公,电脑办公,NIKE,7081.06,5549.08,8655.19,603,5,"5"
2026-06-01,SKU0152,PROD0152,美的智能家电 SKU0152,家用电器,家用电器,美的,3395.62,1975.8,4815.45,266,2,"2"
2026-06-01,SKU0153,PROD0153,小米笔记本电脑 SKU0153,电脑办公,电脑办公,小米,7407.67,1445.33,9571.12,474,5,"5"
2026-06-01,SKU0154,PROD0154,海尔智能手机 SKU0154,手机数码,手机数码,海尔,6277.05,4817.62,8095.66,605,4,"4"
2026-06-01,SKU0155,PROD0155,三只松鼠智能家电 SKU0155,家用电器,家用电器,三只松鼠,3202.14,1877.43,4751.73,780,5,"5"
2026-06-01,SKU0156,PROD0156,欧莱雅精选零食礼包 SKU0156,食品饮料,食品饮料,欧莱雅,106.72,74.19,165.2,440,3,"3"
2026-06-01,SKU0157,PROD0157,三只松鼠精选零食礼包 SKU0157,食品饮料,食品饮料,三只松鼠,89.6,6.62,135.13,1053,5,"5"
2026-06-01,SKU0158,PROD0158,联想日用商品 SKU0158,日用百货,日用百货,联想,231.13,40.83,463.75,480,3,"3"
2026-06-01,SKU0159,PROD0159,Apple时尚运动鞋 SKU0159,服饰鞋包,服饰鞋包,Apple,1003.79,454.82,1552.76,218,2,"2"
2026-06-01,SKU0160,PROD0160,格力运动装备 SKU0160,运动户外,运动户外,格力,2021.08,1198.84,2924.76,604,4,"4"
2026-06-01,SKU0161,PROD0161,Apple智能手机 SKU0161,手机数码,手机数码,Apple,5395.06,2475.25,8122.12,1043,5,"5"
2026-06-01,SKU0162,PROD0162,Apple智能手机 SKU0162,手机数码,手机数码,Apple,3775.0,2578.22,4879.29,544,3,"3"
2026-06-01,SKU0163,PROD0163,联想时尚运动鞋 SKU0163,服饰鞋包,服饰鞋包,联想,944.95,569.29,1320.61,231,2,"2"
2026-06-01,SKU0164,PROD0164,联想智能手机 SKU0164,手机数码,手机数码,联想,3145.11,2391.15,4041.83,433,3,"3"
2026-06-01,SKU0165,PROD0165,联想运动装备 SKU0165,运动户外,运动户外,联想,943.88,514.07,1190.1,858,4,"4"
2026-06-01,SKU0166,PROD0166,Adidas笔记本电脑 SKU0166,电脑办公,电脑办公,Adidas,4239.8,888.26,7591.33,237,2,"2"
2026-06-01,SKU0167,PROD0167,美的智能手机 SKU0167,手机数码,手机数码,美的,5598.66,866.23,8581.72,666,5,"5"
2026-06-01,SKU0168,PROD0168,美的精选零食礼包 SKU0168,食品饮料,食品饮料,美的,87.41,36.35,187.26,696,5,"5"
2026-06-01,SKU0169,PROD0169,索尼运动装备 SKU0169,运动户外,运动户外,索尼,1026.96,406.48,1610.4,915,5,"5"
2026-06-01,SKU0170,PROD0170,海尔智能手机 SKU0170,手机数码,手机数码,海尔,4444.97,4387.59,4502.35,251,2,"2"
2026-06-01,SKU0171,PROD0171,Apple护肤精华 SKU0171,美妆个护,美妆个护,Apple,155.59,84.52,226.65,334,2,"2"
2026-06-01,SKU0172,PROD0172,玉兰油日用商品 SKU0172,日用百货,日用百货,玉兰油,286.08,188.54,381.84,481,3,"3"
2026-06-01,SKU0173,PROD0173,索尼笔记本电脑 SKU0173,电脑办公,电脑办公,索尼,4615.95,2833.05,6181.65,604,4,"4"
2026-06-01,SKU0174,PROD0174,NIKE智能手机 SKU0174,手机数码,手机数码,NIKE,3849.16,507.83,7678.82,771,5,"5"
2026-06-01,SKU0175,PROD0175,海尔精选零食礼包 SKU0175,食品饮料,食品饮料,海尔,121.34,50.68,176.6,494,4,"4"
2026-06-01,SKU0176,PROD0176,Adidas运动装备 SKU0176,运动户外,运动户外,Adidas,1048.8,907.49,1160.11,449,4,"4"
2026-06-01,SKU0177,PROD0177,索尼智能家电 SKU0177,家用电器,家用电器,索尼,2385.0,1425.98,3239.62,491,4,"4"
2026-06-01,SKU0178,PROD0178,格力笔记本电脑 SKU0178,电脑办公,电脑办公,格力,8219.12,6671.59,9766.66,118,2,"2"
2026-06-01,SKU0179,PROD0179,欧莱雅智能家电 SKU0179,家用电器,家用电器,欧莱雅,2193.43,506.25,4814.01,827,5,"5"
2026-06-01,SKU0180,PROD0180,良品铺子精选零食礼包 SKU0180,食品饮料,食品饮料,良品铺子,62.92,6.44,123.39,575,3,"3"
2026-06-01,SKU0181,PROD0181,海尔精选零食礼包 SKU0181,食品饮料,食品饮料,海尔,90.47,87.66,93.27,132,2,"2"
2026-06-01,SKU0182,PROD0182,三只松鼠运动装备 SKU0182,运动户外,运动户外,三只松鼠,1088.66,142.84,2163.57,400,3,"3"
2026-06-01,SKU0183,PROD0183,Adidas精选零食礼包 SKU0183,食品饮料,食品饮料,Adidas,118.31,29.21,202.56,624,5,"5"
2026-06-01,SKU0184,PROD0184,小米时尚运动鞋 SKU0184,服饰鞋包,服饰鞋包,小米,676.53,396.32,1073.23,524,4,"4"
2026-06-01,SKU0185,PROD0185,海尔智能手机 SKU0185,手机数码,手机数码,海尔,4694.62,1572.21,6448.23,803,5,"5"
2026-06-01,SKU0186,PROD0186,海尔时尚运动鞋 SKU0186,服饰鞋包,服饰鞋包,海尔,1042.05,748.38,1529.78,622,5,"5"
2026-06-01,SKU0187,PROD0187,良品铺子日用商品 SKU0187,日用百货,日用百货,良品铺子,125.89,30.02,275.39,470,3,"3"
2026-06-01,SKU0188,PROD0188,索尼笔记本电脑 SKU0188,电脑办公,电脑办公,索尼,2570.11,863.81,5949.55,536,3,"3"
2026-06-01,SKU0189,PROD0189,格力精选零食礼包 SKU0189,食品饮料,食品饮料,格力,152.06,100.63,182.61,458,3,"3"
2026-06-01,SKU0190,PROD0190,联想精选零食礼包 SKU0190,食品饮料,食品饮料,联想,134.34,38.94,184.5,651,5,"5"
2026-06-01,SKU0191,PROD0191,三星运动装备 SKU0191,运动户外,运动户外,三星,1525.6,1156.0,1968.13,623,4,"4"
2026-06-01,SKU0192,PROD0192,小米笔记本电脑 SKU0192,电脑办公,电脑办公,小米,4743.45,2847.84,7953.55,321,3,"3"
2026-06-01,SKU0193,PROD0193,美的智能家电 SKU0193,家用电器,家用电器,美的,3161.54,1987.58,4391.75,401,3,"3"
